s0591e,1,1.77,0.58,0.01,0.26
s05939,1,1.76,0.68,0.21,-0.19
s05938,1,1.76,0.73,0.25,0.07
s05940,1,1.88,0.68,0.24,-0.24
s05932,1,1.73,0.59,0.09,-0.1
s05931,1,1.75,0.72,0.25,-0.04
s0593e,1,1.86,0.69,0.09,-0.21
s0597e,1,1.28,0.51,0.07,0.06
s0596f,1,1.73,0.63,0.2,0.06
s0596d,1,1.72,0.66,0.23,0.25
s05968,1,2.06,0.58,0.24,-0.04
s05966,1,1.07,0.46,0.09,-0.08
s05976,1,1.96,0.59,0.09,0.03
s05974,1,1.38,0.41,0.19,0.1
s05957,1,1.58,0.45,0.14,0.05
s05956,1,1.67,0.66,0.2,-0.21
s0595c,1,1.6,0.58,0.26,-0.08
s05955,1,1.61,0.64,0.19,0.15
s05954,1,1.43,0.27,0.2,0.23
s05951,1,1.82,0.6,0.27,-0.12
s0595e,1,1.66,0.68,0.27,-0.11
s0597f,1,1.23,0.41,0.08,0.32
s058f3,1,1.27,0.66,0.26,0.06
s058f6,1,1.64,0.76,0.21,-0.05
s058f5,1,0.94,0.69,0.33,-0.23
s058ee,1,2.29,0.65,0.25,-0.06
s058ec,1,2.4,0.6,0.18,-0.11
s05903,1,1.36,0.49,0.12,-0.04
s05901,1,1.62,0.54,0.23,0.14
s058fd,1,1.41,0.46,0.18,0.06
s058fc,1,1.74,0.47,0.12,0
s13880,1,1.4,0.46,0.15,-0.05
s13881,1,0.66,0.5,0.11,-0.75
s13884,1,1.53,0.71,0.11,-0.05
s13886,1,1.73,0.42,0.21,-0.01
s13888,1,0.65,0.56,-0.08,0.19
s05985,1,1.28,0.52,0.26,0.12
s05994,1,1.36,0.55,0.21,0.04
s0598f,1,1.56,0.51,0.13,-0.02
s059d7,1,1.61,0.71,0.14,-0.14
s059e5,1,1.67,0.56,0.2,-0.01
s059fb,1,1.38,0.66,0.14,0.14
s059c0,1,1.53,0.67,0.2,0.15
s059bf,1,1.26,0.57,0.2,0.13
s059cc,1,1.66,0.72,0.13,-0.2
s059ce,1,1.41,0.52,0.13,0.05
s059b1,1,1.63,0.75,0.24,-0.03
s059a7,1,1.85,0.64,0.2,0.05
s059a4,1,1.4,0.46,0.1,0.03
s059a3,1,1.35,0.61,0.24,0.14
s05a05,1,1.72,0.75,0.23,-0.11
s05a0a,1,1.7,0.66,0.22,-0.06
s0590f,1,1.58,0.57,0.16,-0.02
s0590c,1,0.92,0.48,0.18,-0.01
s0590b,1,2.6,0.62,0.1,-0.5
s0590a,1,1.79,0.66,0.22,-0.33
s0594e,1,1.88,0.52,0.14,0.02
s0594d,1,1.67,0.6,0.22,-0.26
s0594f,1,1.93,0.75,0.22,0.04
s0594b,1,1.67,0.75,0.27,-0.36
s0592f,1,1.57,0.67,0.12,-0.12
s0592d,1,1.26,0.68,0.18,-0.25
s0592c,1,1.46,0.73,0.19,-0.03
s0597d,1,1.78,0.74,0.22,-0.13
s1388e,1,1.18,0.54,0.18,-0.12
s1388f,1,1.78,0.82,0.19,-0.53
s13891,1,1.85,0.71,0.24,-0.02
s13893,1,1.57,0.67,0.2,-0.05
s13896,1,1.52,0.41,0.13,0.07
